연번,호선,보관함명,상세위치
217,5,고덕,고덕역 B1층 E/V 주변
218,5,상일동,상일동역 B1층 2번 출구 방면
219,5,둔촌동,둔촌동역 B1층 편의점(7-ELEVEN) 주변
220,5,올림픽공원A,3번출구 지하2층 용역창고 주변
221,5,올림픽공원B,3번출구 지하2층 용역창고 주변
222,5,방이,방이역 B1층 1번 출구 방면 (판매기실 옆)
223,5,개롱,"개롱역 B1층 1, 4번 출구 방면"
224,5,거여,거여역 B2층  2번 출구 방면 (창고 옆)
225,5,마천,마천역 B1층 만남의 광장 주변(1번출구 근처)
226,6,응암,"응암역 중층 1, 2번 출구 방면"
227,6,역촌,역촌역 B1층 3번 출구 방면
228,6,불광B,불광역 중층 9번 출구 방면 (3호선 연결통로)
229,6,독바위,독바위역 B3층 고객상담실 주변
230,6,구산,구산역 B1층 3번 출구 방면
231,6,새절,새절역 B1층 4번 출구 방면
232,6,증산,"증산역 B1층 3,4번 출구 방면 "
233,6,디지털미디어시티,"디지털미디어시티역 B1층 1, 5번 출구 방면 (통로)"
234,6,월드컵경기장,월드컵경기장역 B1층 2번 출구 방면 (화장실 주변)
235,6,마포구청,"마포구청역 B2층 1,2,8번출구 방면(화장실 주변)"
236,6,망원,망원역 B1층 1번 출구 방면 (화장실 주변)
237,6,합정26~50,"합정역 B1층 5, 6번 출구 방면 (즉석사진기 주변)"
238,6,상수,상수역 B2층 게이트 주변 (휴게공간)
239,6,광흥창,"광흥창역 B1층 1, 2번 출구 방면 (만남의 광장)"
240,6,대흥,대흥역 B2층 만남의 광장 주변
241,6,공덕,"공덕역 B1층 6, 7번 출구 방면 공덕역"
242,6,효창공원앞,효창공원앞역 B1층 1번 출구 방면 
243,6,삼각지B,"삼각지역 B1층 7, 8번 출구 방면(화장실 주변)"
244,6,녹사평,녹사평역 B1층 E/V 주변 (편의점 (7-ELEVEN) 주변)
245,6,이태원22~51,이태원역 B1층 화장실 주변
246,6,이태원1~21,이태원역 B1층 화장실 앞
247,6,한강진,한강진역 중층 1번 출구 방면
248,6,버티고개,버티고개역 B1층 2번 출구 방면 (화장실 주변)
249,6,약수B,약수역 B1층 9번 출구 방면
250,6,신당B,"신당역 B1층 11, 12번 출구 방면"
251,6,동묘앞B,"동묘앞역 B1층 4, 7번 출구 방면"
252,6,창신,창신역 B1층 4번 출구 방면 
253,6,보문,보문역 B1층 5~8번 출구 방면 
254,6,안암,"안암역 B1층 3, 4번 출구 방면"
255,6,고려대,"고려대역 B1층 5, 6번 출구 방면 (자전거 보관함 주변)"
256,6,월곡,월곡역 B1층 화장실 주변
257,6,상월곡,"상월곡역 B2층 1, 4번 출구 방면(화장실 주변)"
258,6,돌곶이,돌곶이역 B1층 5~8번 출구 방면 (화장실 주변)
259,6,석계,"석계역 B1층 2, 3번 출구 방면"
260,6,화랑대,화랑대역 B1층 1~4번 출구 방면(자전거보관함 주변)
261,6,봉화산,봉화산역 B1층 3번 출구 방면
262,7,도봉산,도봉산역 2번 출구 방면 (출입구 주변)
263,7,수락산,"수락산역 B2층 5, 6번 방면 (편의점(GS25) 주변)"
264,7,마들,"마들역 B1층 4, 5번 출구 방면"
265,7,노원B,노원역 B1층 5~7번 출구 방면(E/V 주변)
266,7,중계,"중계역 B1층 1, 2번 출구 방면"
267,7,하계,하계역 B1층 2~5번 출구 (화장실 주변)
268,7,공릉,공릉역 B1층 1~4번 출구 (화장실 주변)
269,7,태릉입구,"태릉입구역 B3층 3, 4번 출구 방면 (E/S, E/V 주변)"
270,7,먹골,"먹골역 B1층 1, 2번 출구 방면 (화장실 주변)"
271,7,중화,"중화역 B1층 1, 4번 출구 방면 (만남의 광장 주변)"
272,7,상봉,"상봉역 B1층 1, 2, 5, 6번 출구 방면"
273,7,면목,면목역 B1층 1번 출구 방면(쉼터 주변)
274,7,사가정,"사가정역 B1층3, 4번 출구 방면 (게이트 주변)"
275,7,용마산,"용마산역 B1층 만남의 광장 (편의점(GS25) 주변, 게이트 정면)"
276,7,중곡,중곡역 B2층 게이트 주변
277,7,어린이대공원,"어린이대공원역 B1층 1, 6번 출구 방면"
278,7,건대입구67~79,건대입구역 B2층 3번 출구 방면(편의점(GS25) 주변)
279,7,건대입구80~105,"건대입구역 2층 환승(2→7)통로 (운임지역 내, 2번 출구)"
280,7,뚝섬유원지,"뚝섬유원지역 2층 2, 3번 출구 방면 (게이트 정면)"
281,7,청담A,청담역  B3층 12번 출구 방면 (편의점(GS25) 주변)
282,7,청담B,"청담역 B3층 6~9번 방면 (쉼터, 화장품 및 편의점 주변)"
283,7,강남구청,강남구청역 B2층 화장실 주변
284,7,학동,"학동역 B2층 1, 2번 출구 화장실 주변"
285,7,논현,논현역 B1층 7~8번 출구 방면 (편의점(GS25) 주변)
286,7,반포,"반포역 B1층 1, 2번 출구 방면"
287,7,고속터미널73~98,고속터미널역 B1층 3번 출구 방면 (화장실 주변)
288,7,내방,내방역 B1층 대합실 (편의점(GS25) 주변)
289,7,총신대입구(이수)C,"이수역 B1층 5, 6번 출구 방면 (공연무대 주변)"
290,7,남성,남성역 B1층 2번 출구 방면
291,7,숭실대입구,"숭실대입구역 B1층 1, 2번 출구 방면 (편의점(GS25) 주변)"
292,7,상도,상도역 B1층 1~5번 출구 방면 (B2층 계단 주변)
293,7,장승배기,"장승배기역 B1층 1, 2번 출구 방면"
294,7,신대방삼거리,신대방삼거리역 B2층 화장실 주변
295,7,보라매,보라매역 B1층 4번 출구 방면
296,7,신풍,"신풍역 B1층 2, 3번 출구 방면"
297,7,대림B,"대림역 B1층 게이트 주변 (9, 10번 출구)"
298,7,남구로,남구로역 B1층 게이트 주변 (2~5번 출구)
299,7,가산디지털단지,가산디지털역 B1층 화장실 주변 (2~4번 출구)
300,7,철산,철산역 B1층 4번 출구 방면
301,7,광명사거리,"광명사거리역 B1층 4, 5번 출구 방면"
302,7,천왕,"천왕역 B1층 1, 3번 출구 방면 (화장실 맞은편)"
303,7,온수,온수역 B1층 고객상담실 주변(민원발급기 옆)
304,8,암사,암사역 B1층 4번 출구 방면
305,8,강동구청,강동구청역 B1층 1~5번 출구 방면 (편의점(7-ELEVEN) 주변)
306,8,몽촌토성,몽촌토성역 B1층 1~5번 출구 방면 (편의점(7-ELEVEN) 주변)
307,8,잠실109~125,"잠실역 B1층 10, 11번 출구 방면 (통로)"
